"GEO";"GEO_OBJECT";"FACILITY_DOM";"FACILITY_SDOM";"FACILITY_TYPE";"BPE_MEASURE";"UNIT_MULT";"UNIT_MEASURE";"OBS_STATUS";"TIME_PERIOD";"OBS_VALUE"
"11262";"COM";"D";"_T";"_T";"FACILITIES";"0";"NR";"A";2025;827
"11262";"COM";"C";"C4";"C410";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"D";"D1";"D104";"FACILITIES";"0";"NR";"A";2025;6
"11262";"COM";"C";"C5";"C501";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"B";"B3";"B316";"FACILITIES";"0";"NR";"A";2025;12
"11262";"COM";"B";"B3";"B326";"FACILITIES";"0";"NR";"A";2025;37
"11262";"COM";"C";"C4";"_T";"FACILITIES";"0";"NR";"A";2025;7
"11262";"COM";"D";"D3";"D302";"FACILITIES";"0";"NR";"A";2025;8
"11262";"COM";"D";"D2";"D274";"FACILITIES";"0";"NR";"A";2025;18
"11262";"COM";"D";"D5";"D507";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"B";"B2";"_T";"FACILITIES";"0";"NR";"A";2025;3
"11262";"COM";"D";"D5";"D509";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"B";"B3";"B325";"FACILITIES";"0";"NR";"A";2025;12
"11262";"COM";"B";"B3";"B324";"FACILITIES";"0";"NR";"A";2025;5
"11262";"COM";"D";"D1";"D110";"FACILITIES";"0";"NR";"A";2025;3
"11262";"COM";"A";"A1";"A138";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"A";"A1";"A133";"FACILITIES";"0";"NR";"A";2025;2
"11132";"COM";"A";"A5";"A507";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"_T";"_T";"_T";"FACILITIES";"0";"NR";"A";2025;78
"11132";"COM";"A";"A2";"_T";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"D";"D5";"D504";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"B";"B3";"B304";"FACILITIES";"0";"NR";"A";2025;11
"11262";"COM";"A";"A1";"A108";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"A";"A5";"A507";"FACILITIES";"0";"NR";"A";2025;108
"11262";"COM";"A";"A4";"_T";"FACILITIES";"0";"NR";"A";2025;507
"11262";"COM";"E";"E1";"_T";"FACILITIES";"0";"NR";"A";2025;51
"34172";"COM";"F";"F1";"F119";"FACILITIES";"0";"NR";"A";2025;2
"34172";"COM";"F";"F3";"F313";"FACILITIES";"0";"NR";"A";2025;3
"34172";"COM";"A";"A3";"A302";"FACILITIES";"0";"NR";"A";2025;13
"34172";"COM";"C";"C3";"C303";"FACILITIES";"0";"NR";"A";2025;1
"34172";"COM";"A";"A3";"A303";"FACILITIES";"0";"NR";"A";2025;84
"34172";"COM";"D";"D2";"D246";"FACILITIES";"0";"NR";"A";2025;14
"34172";"COM";"B";"B1";"_T";"FACILITIES";"0";"NR";"A";2025;46
"34172";"COM";"F";"F1";"F116";"FACILITIES";"0";"NR";"A";2025;2
"34172";"COM";"F";"F1";"F103";"FACILITIES";"0";"NR";"A";2025;19
"34172";"COM";"D";"D2";"D270";"FACILITIES";"0";"NR";"A";2025;68
"34172";"COM";"D";"D2";"D281";"FACILITIES";"0";"NR";"A";2025;435
"34172";"COM";"D";"D1";"D109";"FACILITIES";"0";"NR";"A";2025;6
"34172";"COM";"B";"B1";"B105";"FACILITIES";"0";"NR";"A";2025;38
"34172";"COM";"B";"B3";"B316";"FACILITIES";"0";"NR";"A";2025;20
"34172";"COM";"G";"_T";"_T";"FACILITIES";"0";"NR";"A";2025;177
"34172";"COM";"B";"B3";"B309";"FACILITIES";"0";"NR";"A";2025;14
"34172";"COM";"C";"C5";"C502";"FACILITIES";"0";"NR";"A";2025;2
"34172";"COM";"D";"D2";"D268";"FACILITIES";"0";"NR";"A";2025;40
"34172";"COM";"B";"B2";"B205";"FACILITIES";"0";"NR";"A";2025;8
"34172";"COM";"D";"D2";"D251";"FACILITIES";"0";"NR";"A";2025;1
"34172";"COM";"D";"D2";"D256";"FACILITIES";"0";"NR";"A";2025;5
"34172";"COM";"B";"B3";"B310";"FACILITIES";"0";"NR";"A";2025;54
"34172";"COM";"A";"A4";"_T";"FACILITIES";"0";"NR";"A";2025;3228
"34172";"COM";"D";"D2";"D279";"FACILITIES";"0";"NR";"A";2025;822
"34172";"COM";"A";"A5";"A505";"FACILITIES";"0";"NR";"A";2025;802
"34172";"COM";"D";"D6";"D603";"FACILITIES";"0";"NR";"A";2025;27
"34172";"COM";"C";"C6";"C603";"FACILITIES";"0";"NR";"A";2025;2
"34172";"COM";"D";"D2";"D275";"FACILITIES";"0";"NR";"A";2025;6
"34172";"COM";"C";"C5";"_T";"FACILITIES";"0";"NR";"A";2025;30
"34172";"COM";"C";"C5";"C504";"FACILITIES";"0";"NR";"A";2025;2
"34172";"COM";"A";"A4";"A404";"FACILITIES";"0";"NR";"A";2025;433
"34172";"COM";"A";"A1";"A130";"FACILITIES";"0";"NR";"A";2025;1
"34172";"COM";"E";"E1";"E107";"FACILITIES";"0";"NR";"A";2025;2
"34172";"COM";"D";"D7";"D711";"FACILITIES";"0";"NR";"A";2025;11
"34172";"COM";"B";"B3";"B306";"FACILITIES";"0";"NR";"A";2025;29
"34172";"COM";"C";"C4";"C403";"FACILITIES";"0";"NR";"A";2025;19
"34172";"COM";"C";"C7";"C701";"FACILITIES";"0";"NR";"A";2025;25
